cancer.lung.sa2,y.lung.male,sd.lung.male,y.lung.female,sd.lung.female,y.lung.persons,sd.lung.persons
11273,0.047,0.24736018071535357,0.301,0.09851774009181208,0.1524,0.16504727785767678
11274,0.3853,0.2354764342426312,0.5179,0.15764062100134904,0.5642,0.10553798467426134
11275,-0.0334,0.2787979369519528,0.0315,0.22090108370685768,-0.0163,0.2493133057153535
11276,-0.0143,0.18012872198000587,0.2385,0.032633353777215136,0.0718,0.09376788260514349
11277,0.1466,0.38131375698363357,0.4116,0.2346406130279353,0.2971,0.26331355587983213
11278,0.228,0.19164274009181206,0.5381,0.026937219055742416,0.4191,0.053200196242449455
11279,0.2632,-0.02386744597903757,0.4093,-0.09762501197206473,0.3762,-0.11157627556581962
11280,0.0405,0.11660229587799868,0.4803,-0.1339200255658196,0.3112,-0.06907868215100103
11281,0.003,0.2316637329621043,0.236,0.093945574885548,0.085,0.16840665285767678
11282,-0.3174,0.15076790319722985,0.732,-0.4486501848603226,0.2235,-0.19355494597903758
11283,0.0522,0.1982262329621043,0.4597,-0.0358817853960963,0.3418,-2.0206912016786137e-4
11284,-0.4447,0.5008793935671803,-0.1389,0.3265484941029538,-0.3386,0.4146699739040041
11285,0.0368,0.24720393071535354,-0.1598,0.3392219273219032,-0.0574,0.27668856195195285
11286,-0.3221,0.49764290319722987,-0.2398,0.45098725108658755,-0.3641,0.49764290319722987
11287,-0.3793,0.5731450185671803,-0.1609,0.4416330538646687,-0.3229,0.49868394059505144
11288,-0.2714,0.39129975108658754,-0.1129,0.29551668695195277,-0.2632,0.36897680386466875
11289,-0.4301,0.43502796948671857,-0.2344,0.32913305386466873,-0.4453,0.43502796948671857
11290,-0.4915,-0.02677129524814685,-0.2988,-0.137685561865637,-0.4355,-0.0780191721901885
11291,-0.6668,0.06377067766145618,-0.0914,-0.2529989380480472,-0.4199,-0.0984475760715473
11292,-0.5209,-0.014822519186193615,-0.3982,-0.09172882607154727,-0.5084,-0.05422162358220302
11293,-0.9473,0.30372661741760076,-0.4895,0.043457518567180255,-0.8557,0.21778841803140658
11294,-0.5796,0.20154552534060116,-0.2764,0.018419973904004086,-0.4834,0.11775995475185311
11295,-0.5164,0.03946790480745411,-0.1895,-0.15381973059398424,-0.4018,-0.05102570107154733
